"extension","force_f","retraction","force_r"
5250.770934,-45.2878088133334,5252.890281,633.112665186667
5251.007467,-44.5826108133333,5253.12833,631.702268186667
5251.244022,-45.9930068133335,5253.366402,625.355485186667
5251.4806,-45.2878088133334,5253.604495,618.303504186666
5251.717199,-46.6982038133333,5253.842611,611.956721186667
5251.95382,-47.4034018133334,5254.080749,605.609938186667
5252.190464,-47.4034018133334,5254.318909,598.557957186666
5252.427129,-48.1085998133335,5254.557091,592.916372186667
5252.663817,-48.1085998133335,5254.795295,587.274788186667
5252.900527,-48.1085998133335,5255.033521,581.633203186666
5253.137259,-48.8137978133336,5255.271769,578.107212186666
5253.374013,-50.2241938133334,5255.51004,572.465627186667
5253.610789,-49.5189958133333,5255.748332,566.824043186667
5253.847588,-50.9293918133335,5255.986647,561.887656186666
5254.084408,-50.2241938133334,5256.224984,556.951269186667
5254.321251,-50.9293918133335,5256.463343,552.720081186666
5254.558116,-51.6345898133336,5256.701725,548.488892186666
5254.795003,-50.2241938133334,5256.940128,542.847308186666
5255.031913,-50.9293918133335,5257.178554,540.731713186667
5255.268844,-50.9293918133335,5257.417002,535.795327186666
5255.505798,-51.6345898133336,5257.655472,532.269336186666
5255.742775,-51.6345898133336,5257.893965,530.153742186666
5255.979773,-50.9293918133335,5258.132479,525.217356186667
5256.216794,-51.6345898133336,5258.371016,523.101761186666
5256.453837,-50.2241938133334,5258.609576,521.691365186667
5256.690902,-50.9293918133335,5258.848157,519.575771186667
5256.92799,-48.8137978133336,5259.086761,514.639385186666
5257.1651,-50.9293918133335,5259.325387,513.228988186666
5257.402232,-48.8137978133336,5259.564035,510.408196186666
5257.639387,-48.1085998133335,5259.802706,508.292602186666
5257.876563,-48.1085998133335,5260.041399,506.177008186667
5258.113763,-48.8137978133336,5260.280114,502.651017186667
5258.350984,-47.4034018133334,5260.518852,499.830225186667
5258.588229,-46.6982038133333,5260.757612,496.304235186667
5258.825495,-47.4034018133334,5260.996394,493.483442186667
5259.062784,-46.6982038133333,5261.235199,489.957452186667
5259.300095,-45.9930068133335,5261.474026,487.136660186667
5259.537429,-45.9930068133335,5261.712876,482.905471186667
5259.774785,-47.4034018133334,5261.951748,482.200273186666
5260.012164,-45.9930068133335,5262.190642,479.379481186666
5260.249565,-45.2878088133334,5262.429559,476.558689186666
5260.486988,-45.9930068133335,5262.668498,471.622302186667
5260.724434,-46.6982038133333,5262.907459,468.096312186667
5260.961903,-46.6982038133333,5263.146443,463.159926186666
5261.199394,-46.6982038133333,5263.38545,458.223539186667
5261.436907,-45.9930068133335,5263.624479,453.992351186666
5261.674443,-45.9930068133335,5263.86353,447.645569186667
5261.912002,-46.6982038133333,5264.102604,442.709182186667
5262.149583,-48.8137978133336,5264.3417,436.362400186666
5262.387187,-47.4034018133334,5264.580819,431.426014186667
5262.624813,-47.4034018133334,5264.819961,424.374033186667
5262.862462,-48.1085998133335,5265.059124,419.437647186667
5263.100133,-48.1085998133335,5265.298311,413.796063186667
5263.337827,-48.1085998133335,5265.53752,406.744082186667
5263.575543,-48.1085998133335,5265.776751,402.512894186666
5263.813283,-47.4034018133334,5266.016005,398.281706186667
5264.051044,-48.8137978133336,5266.255282,392.640122186667
5264.288829,-48.1085998133335,5266.494581,391.934923186667
5264.526636,-47.4034018133334,5266.733903,387.703735186667
5264.764466,-48.8137978133336,5266.973247,384.177745186666
5265.002318,-49.5189958133333,5267.212614,382.767349186667
5265.240193,-48.1085998133335,5267.452004,379.946557186667
5265.478091,-48.8137978133336,5267.691416,376.420567186667
5265.716012,-49.5189958133333,5267.930851,375.010171186666
5265.953955,-48.8137978133336,5268.170308,370.778983186667
5266.191921,-48.1085998133335,5268.409788,367.252993186667
5266.42991,-48.1085998133335,5268.649291,364.432201186667
5266.667921,-48.1085998133335,5268.888816,360.906210186667
5266.905955,-48.8137978133336,5269.128365,354.559428186667
5267.144012,-50.2241938133334,5269.367935,351.033438186666
5267.382092,-50.9293918133335,5269.607529,344.686656186666
5267.620194,-51.6345898133336,5269.847145,338.339874186667
5267.85832,-51.6345898133336,5270.086784,333.403488186666
5268.096468,-53.0449848133335,5270.326445,327.761904186666
5268.334639,-53.0449848133335,5270.56613,319.299528186667
5268.572833,-52.3397878133333,5270.805837,313.657944186667
5268.811049,-52.3397878133333,5271.045567,306.605964186666
