"extension","force_f","retraction","force_r"
-4717.916591,-5.07200914000077,-4719.014036,2342.25420386
-4718.034297,-5.07200914000077,-4719.13333,2338.19659586
-4718.152015,-3.04320514000028,-4719.252638,2330.08137786
-4718.269746,-7.10081314000035,-4719.37196,2311.82213886
-4718.387491,-7.10081314000035,-4719.491296,2299.64931286
-4718.505248,-9.12961614000051,-4719.610646,2283.41887886
-4718.623019,-5.07200914000077,-4719.73001,2275.30366086
-4718.740802,-9.12961614000051,-4719.849389,2257.04442286
-4718.858599,-5.07200914000077,-4719.968781,2242.84279186
-4718.976408,-5.07200914000077,-4720.088187,2230.66996686
-4719.094231,-7.10081314000035,-4720.207607,2216.46833586
-4719.212066,-3.04320514000028,-4720.327042,2200.23790186
-4719.329915,-7.10081314000035,-4720.44649,2190.09388086
-4719.447776,-5.07200914000077,-4720.565952,2173.86344586
-4719.565651,-1.01440214000013,-4720.685429,2161.69062086
-4719.683539,-1.01440214000013,-4720.804919,2143.43138186
-4719.801439,-1.01440214000013,-4720.924424,2125.17214386
-4719.919353,-3.04320514000028,-4721.043942,2106.91290486
-4720.03728,1.01440185999945,-4721.163474,2074.45203686
-4720.15522,-1.01440214000013,-4721.283021,2052.13518986
-4720.273172,3.04320585999994,-4721.402582,2027.78953886
-4720.391138,5.0720088600001,-4721.522156,1995.32867186
-4720.509117,5.0720088600001,-4721.641745,1970.98302086
-4720.627109,5.0720088600001,-4721.761347,1932.43574086
-4720.745114,3.04320585999994,-4721.880964,1904.03248186
-4720.863132,1.01440185999945,-4722.000594,1875.62922286
-4720.981163,1.01440185999945,-4722.120239,1851.28357286
-4721.099207,-3.04320514000028,-4722.239898,1824.90911886
-4721.217265,-7.10081314000035,-4722.35957,1802.59227286
-4721.335335,-7.10081314000035,-4722.479257,1780.27542686
-4721.453418,-13.1872241400006,-4722.598958,1757.95858086
-4721.571514,-15.2160271400007,-4722.718673,1743.75695186
-4721.689624,-17.2448311400003,-4722.838401,1721.44010586
-4721.807746,-21.30243814,-4722.958144,1711.29608586
-4721.925882,-21.30243814,-4723.077901,1691.00804386
-4722.04403,-19.2736351400008,-4723.197672,1674.77761086
-4722.162192,-15.2160271400007,-4723.317457,1660.57598186
-4722.280367,-19.2736351400008,-4723.437255,1642.31674486
-4722.398554,-13.1872241400006,-4723.557068,1626.08631186
-4722.516755,-9.12961614000051,-4723.676895,1605.79827086
-4722.634969,-7.10081314000035,-4723.796736,1591.59664186
-4722.753196,-3.04320514000028,-4723.916591,1569.27979686
-4722.871436,-1.01440214000013,-4724.03646,1553.04936386
-4722.989689,3.04320585999994,-4724.156343,1532.76132386
-4723.107955,1.01440185999945,-4724.27624,1522.61730286
-4723.226235,1.01440185999945,-4724.396151,1502.32926186
-4723.344527,-1.01440214000013,-4724.516076,1492.18524186
-4723.462832,-3.04320514000028,-4724.636014,1477.98361286
-4723.581151,-9.12961614000051,-4724.755967,1461.75318086
-4723.699482,-9.12961614000051,-4724.875934,1453.63796486
-4723.817827,-15.2160271400007,-4724.995915,1445.52274786
-4723.936185,-15.2160271400007,-4725.11591,1439.43633586
-4724.054556,-17.2448311400003,-4725.23592,1435.37872786
-4724.17294,-19.2736351400008,-4725.355943,1425.23470786
-4724.291337,-21.30243814,-4725.47598,1419.14829586
-4724.409747,-15.2160271400007,-4725.596031,1413.06188286
-4724.52817,-15.2160271400007,-4725.716096,1406.97547086
-4724.646606,-13.1872241400006,-4725.836175,1398.86025486
-4724.765056,-11.1584201400001,-4725.956268,1392.77384286
-4724.883518,-7.10081314000035,-4726.076375,1382.62982286
-4725.001994,-5.07200914000077,-4726.196496,1376.54341086
-4725.120482,-1.01440214000013,-4726.316631,1360.31297786
-4725.238984,-1.01440214000013,-4726.43678,1348.14015386
-4725.357499,1.01440185999945,-4726.556943,1337.99613386
-4725.476027,-5.07200914000077,-4726.67712,1325.82330986
-4725.594568,-7.10081314000035,-4726.797312,1315.67928986
-4725.713122,-11.1584201400001,-4726.917517,1303.50646486
-4725.831689,-19.2736351400008,-4727.037736,1295.39124886
-4725.95027,-25.3600461400001,-4727.157969,1289.30483686
-4726.068863,-27.3888491400003,-4727.278216,1275.10320886
-4726.18747,-33.4752601400005,-4727.398477,1269.01679686
-4726.30609,-31.4464571400003,-4727.518752,1264.95918886
-4726.424722,-37.5328671400002,-4727.639042,1254.81516886
-4726.543368,-35.5040641400001,-4727.759345,1250.75756086
-4726.662027,-37.5328671400002,-4727.879662,1244.67114886
-4726.7807,-31.4464571400003,-4727.999993,1230.46952086
-4726.899385,-27.3888491400003,-4728.120338,1226.41191286
-4727.018083,-27.3888491400003,-4728.240697,1226.41191286
-4727.136795,-19.2736351400008,-4728.361071,1214.23908886
-4727.25552,-17.2448311400003,-4728.481458,1210.18148086
