"extension","force_f","retraction","force_r"
4515.951796,-5883.384064,4518.022031,-5999.025873
4516.047493,-5885.412867,4518.113988,-5994.968266
4516.143199,-5893.528082,4518.205959,-6001.054677
4516.238916,-5899.614493,4518.297945,-6001.054677
4516.334642,-5907.729708,4518.389946,-6001.054677
4516.430379,-5903.6721,4518.481962,-6003.08348
4516.526126,-5915.844922,4518.573992,-6007.141088
4516.621883,-5915.844922,4518.666037,-5999.025873
4516.717651,-5915.844922,4518.758097,-6003.08348
4516.813428,-5921.931333,4518.850172,-6001.054677
4516.909216,-5919.90253,4518.942261,-5999.025873
4517.005014,-5917.873726,4519.034365,-5994.968266
4517.100822,-5917.873726,4519.126484,-5988.881855
4517.19664,-5917.873726,4519.218617,-5990.910658
4517.292468,-5917.873726,4519.310765,-5986.853051
4517.388306,-5917.873726,4519.402928,-5982.795443
4517.484155,-5919.90253,4519.495106,-5982.795443
4517.580014,-5915.844922,4519.587298,-5980.76664
4517.675883,-5915.844922,4519.679505,-5978.737836
4517.771762,-5911.787315,4519.771727,-5976.709032
4517.867651,-5911.787315,4519.863964,-5982.795443
4517.963551,-5909.758511,4519.956215,-5982.795443
4518.05946,-5909.758511,4520.048481,-5988.881855
4518.15538,-5907.729708,4520.140762,-5992.939462
4518.25131,-5907.729708,4520.233057,-5994.968266
4518.34725,-5905.700904,4520.325367,-5994.968266
4518.443201,-5907.729708,4520.417692,-5992.939462
4518.539161,-5903.6721,4520.510032,-5990.910658
4518.635132,-5901.643297,4520.602386,-5986.853051
4518.731113,-5903.6721,4520.694755,-5984.824247
4518.827104,-5901.643297,4520.787139,-5978.737836
4518.923106,-5901.643297,4520.879537,-5976.709032
4519.019117,-5901.643297,4520.971951,-5972.651425
4519.115139,-5901.643297,4521.064378,-5964.53621
4519.211171,-5905.700904,4521.156821,-5964.53621
4519.307213,-5909.758511,4521.249278,-5960.478603
4519.403265,-5911.787315,4521.341751,-5956.420996
4519.499328,-5913.816119,4521.434237,-5960.478603
4519.5954,-5917.873726,4521.526739,-5964.53621
4519.691483,-5919.90253,4521.619255,-5964.53621
4519.787576,-5928.017744,4521.711786,-5968.593818
4519.88368,-5923.960137,4521.804332,-5970.622621
4519.979793,-5928.017744,4521.896892,-5974.680229
4520.075917,-5928.017744,4521.989467,-5980.76664
4520.172051,-5925.988941,4522.082057,-5982.795443
4520.268195,-5923.960137,4522.174662,-5984.824247
4520.364349,-5930.046548,4522.267281,-5976.709032
4520.460514,-5921.931333,4522.359915,-5974.680229
4520.556688,-5923.960137,4522.452564,-5974.680229
4520.652873,-5917.873726,4522.545227,-5976.709032
4520.749069,-5913.816119,4522.637905,-5972.651425
4520.845274,-5915.844922,4522.730598,-5966.565014
4520.94149,-5913.816119,4522.823306,-5966.565014
4521.037716,-5913.816119,4522.916028,-5962.507407
4521.133952,-5913.816119,4523.008765,-5964.53621
4521.230198,-5913.816119,4523.101517,-5964.53621
4521.326455,-5911.787315,4523.194283,-5958.449799
4521.422721,-5913.816119,4523.287064,-5962.507407
4521.518998,-5917.873726,4523.37986,-5960.478603
4521.615286,-5917.873726,4523.47267,-5960.478603
4521.711583,-5921.931333,4523.565496,-5960.478603
4521.807891,-5928.017744,4523.658336,-5964.53621
