extension_nm	force_f	retraction_nm	force_r
4515.951796	-5883.384064	5154.05359	46565.39889
4516.047493	-5885.412867	5153.892623	46587.716
4516.143199	-5893.528082	5153.73167	46612.06194
4516.238916	-5899.614493	5153.570729	46636.40787
4516.334642	-5907.729708	5153.409801	46658.72498
4516.430379	-5903.6721	5153.248886	46681.04209
4516.526126	-5915.844922	5153.087984	46697.27271
4516.621883	-5915.844922	5152.927095	46717.56099
4516.717651	-5915.844922	5152.766219	46739.8781
4516.813428	-5921.931333	5152.605356	46758.13755
4516.909216	-5919.90253	5152.444505	46776.39701
4517.005014	-5917.873726	5152.283667	46794.65646
4517.100822	-5917.873726	5152.122843	46808.85826
4517.19664	-5917.873726	5151.962031	46823.06006
4517.292468	-5917.873726	5151.801232	46835.23302
4517.388306	-5917.873726	5151.640446	46849.43482
4517.484155	-5919.90253	5151.479673	46861.60779
4517.580014	-5915.844922	5151.318912	46871.75193
4517.675883	-5915.844922	5151.158165	46875.80959
4517.771762	-5911.787315	5150.99743	46877.83842
4517.867651	-5911.787315	5150.836709	46879.86725
4517.963551	-5909.758511	5150.676	46877.83842
4518.05946	-5909.758511	5150.515304	46869.7231
4518.15538	-5907.729708	5150.354621	46859.57896
4518.25131	-5907.729708	5150.193951	46847.40599
4518.34725	-5905.700904	5150.033294	46833.2042
4518.443201	-5907.729708	5149.87265	46810.88709
4518.539161	-5903.6721	5149.712018	46788.56998
4518.635132	-5901.643297	5149.5514	46764.22404
4518.731113	-5903.6721	5149.390794	46737.84927
4518.827104	-5901.643297	5149.230201	46709.44568
4518.923106	-5901.643297	5149.069622	46685.09974
4519.019117	-5901.643297	5148.909055	46660.75381
4519.115139	-5901.643297	5148.748501	46638.4367
4519.211171	-5905.700904	5148.58796	46618.14842
4519.307213	-5909.758511	5148.427431	46591.77366
4519.403265	-5911.787315	5148.266916	46573.51421
4519.499328	-5913.816119	5148.106414	46549.16827
4519.5954	-5917.873726	5147.945924	46534.96648
4519.691483	-5919.90253	5147.785447	46520.76468
4519.787576	-5928.017744	5147.624984	46496.41875
4519.88368	-5923.960137	5147.464533	46476.13047
4519.979793	-5928.017744	5147.304095	46455.84219
4520.075917	-5928.017744	5147.14367	46439.61157
4520.172051	-5925.988941	5146.983257	46415.26564
4520.268195	-5923.960137	5146.822858	46392.94853
4520.364349	-5930.046548	5146.662472	46368.6026
4520.460514	-5921.931333	5146.502098	46346.2855
4520.556688	-5923.960137	5146.341738	46325.99722
4520.652873	-5917.873726	5146.18139	46303.68012
4520.749069	-5913.816119	5146.021055	46281.36301
4520.845274	-5915.844922	5145.860734	46257.01708
4520.94149	-5913.816119	5145.700425	46240.78646
4521.037716	-5913.816119	5145.540128	46220.49819
4521.133952	-5913.816119	5145.379845	46204.26757
4521.230198	-5913.816119	5145.219575	46194.12343
4521.326455	-5911.787315	5145.059318	46175.86398
4521.422721	-5913.816119	5144.899073	46157.60454
4521.518998	-5917.873726	5144.738842	46149.48923
4521.615286	-5917.873726	5144.578623	46139.34509
4521.711583	-5921.931333	5144.418417	46127.17213
4521.807891	-5928.017744	5144.258224	46110.94151
4521.904209	-5925.988941	5144.098045	46100.79737
4522.000537	-5928.017744	5143.937877	46088.62441
4522.096876	-5925.988941	5143.777723	46072.39379
4522.193224	-5930.046548	5143.617582	46052.10552
4522.289583	-5925.988941	5143.457454	46033.84607
4522.385952	-5923.960137	5143.297338	46015.58662
4522.482332	-5921.931333	5143.137236	45989.21187
4522.578721	-5921.931333	5142.977146	45966.89477
4522.675121	-5915.844922	5142.81707	45940.52002
4522.771531	-5911.787315	5142.657006	45914.14527
4522.867952	-5911.787315	5142.496955	45887.77051
4522.964382	-5909.758511	5142.336917	45865.45342
4523.060823	-5909.758511	5142.176892	45841.10749
4523.157275	-5907.729708	5142.01688	45818.79039
4523.253736	-5911.787315	5141.856881	45800.53095
4523.350208	-5909.758511	5141.696894	45782.27151
4523.44669	-5911.787315	5141.536921	45759.95441
4523.543182	-5915.844922	5141.376961	45749.81028
4523.639684	-5917.873726	5141.217013	45733.57966
4523.736197	-5917.873726	5141.057078	45727.49318
4523.83272	-5917.873726	5140.897157	45709.23374
4523.929253	-5921.931333	5140.737248	45699.0896
4524.025797	-5923.960137	5140.577352	45682.85899
4524.122351	-5923.960137	5140.417469	45668.6572
4524.218915	-5928.017744	5140.257599	45656.48424
4524.315489	-5930.046548	5140.097741	45640.25363
4524.412074	-5934.104155	5139.937897	45624.02301
4524.508669	-5936.132959	5139.778066	45605.76357
4524.605274	-5936.132959	5139.618247	45587.50413
4524.701889	-5936.132959	5139.458442	45565.18704
4524.798515	-5936.132959	5139.298649	45542.86994
4524.895151	-5930.046548	5139.13887	45520.55285
4524.991798	-5934.104155	5138.979103	45500.26458
4525.088454	-5930.046548	5138.819349	45479.97632
4525.185121	-5925.988941	5138.659608	45461.71688
4525.281798	-5925.988941	5138.49988	45439.39978
4525.378486	-5923.960137	5138.340165	45421.14034
4525.475184	-5923.960137	5138.180463	45406.93856
4525.571892	-5919.90253	5138.020773	45388.67912
4525.66861	-5919.90253	5137.861097	45370.41968
4525.765339	-5923.960137	5137.701434	45362.30438
4525.862078	-5923.960137	5137.541783	45352.16024
4525.958827	-5921.931333	5137.382146	45342.01611
4526.055587	-5923.960137	5137.222521	45337.95846
4526.152356	-5921.931333	5137.062909	45329.84315
4526.249137	-5923.960137	5136.90331	45317.67019
4526.345927	-5921.931333	5136.743724	45305.49723
4526.442728	-5921.931333	5136.584151	45293.32428
4526.539539	-5921.931333	5136.424591	45277.09366
4526.63636	-5917.873726	5136.265044	45256.8054
4526.733192	-5917.873726	5136.10551	45242.60362
4526.830034	-5915.844922	5135.945989	45218.2577
4526.926886	-5915.844922	5135.78648	45193.91178
4527.023749	-5917.873726	5135.626985	45171.5947
4527.120622	-5915.844922	5135.467502	45149.27761
4527.217505	-5915.844922	5135.308033	45124.93169
4527.314399	-5915.844922	5135.148576	45106.67226
4527.411303	-5915.844922	5134.989133	45084.35517
4527.508217	-5913.816119	5134.829702	45066.09573
4527.605142	-5913.816119	5134.670284	45045.80747
4527.702077	-5917.873726	5134.510879	45027.54804
4527.799022	-5911.787315	5134.351487	45015.37508
4527.895978	-5909.758511	5134.192108	44997.11565
4527.992944	-5909.758511	5134.032742	44974.79856
4528.08992	-5909.758511	5133.873388	44958.56795
4528.186906	-5907.729708	5133.714048	44940.30852
4528.283903	-5903.6721	5133.554721	44920.02026
4528.380911	-5905.700904	5133.395406	44899.732
4528.477928	-5907.729708	5133.236105	44881.47256
4528.574956	-5909.758511	5133.076816	44863.21313
4528.671994	-5909.758511	5132.91754	44842.92487
4528.769043	-5911.787315	5132.758278	44822.63661
4528.866102	-5913.816119	5132.599028	44806.406
4528.963171	-5911.787315	5132.439791	44784.08892
4529.060251	-5913.816119	5132.280567	44767.85831
4529.157341	-5917.873726	5132.121356	44749.59888
4529.254441	-5919.90253	5131.962158	44723.22415
4529.351552	-5921.931333	5131.802973	44696.84941
4529.448673	-5919.90253	5131.643801	44678.58998
4529.545805	-5919.90253	5131.484642	44654.24407
4529.642946	-5921.931333	5131.325495	44633.95582
4529.740098	-5921.931333	5131.166362	44607.58108
4529.837261	-5919.90253	5131.007241	44587.29283
4529.934434	-5919.90253	5130.848134	44569.0334
4530.031617	-5919.90253	5130.689039	44544.68749
4530.128811	-5917.873726	5130.529958	44530.48571
4530.226015	-5917.873726	5130.370889	44518.31276
4530.323229	-5921.931333	5130.211833	44500.05333
4530.420454	-5915.844922	5130.05279	44487.88037
4530.517689	-5915.844922	5129.89376	44471.64977
4530.614934	-5923.960137	5129.734743	44461.50564
4530.71219	-5919.90253	5129.575739	44443.24621
4530.809456	-5923.960137	5129.416748	44429.04444
4530.906733	-5921.931333	5129.25777	44418.90031
4531.00402	-5919.90253	5129.098805	44406.72736
4531.101317	-5921.931333	5128.939853	44392.52558
4531.198625	-5923.960137	5128.780913	44378.3238
4531.295943	-5921.931333	5128.621987	44362.0932
4531.393271	-5919.90253	5128.463074	44345.8626
4531.49061	-5917.873726	5128.304173	44325.57434
4531.587959	-5915.844922	5128.145286	44303.25726
4531.685319	-5907.729708	5127.986411	44280.94019
4531.782689	-5901.643297	5127.827549	44250.50781
4531.88007	-5903.6721	5127.668701	44216.01778
4531.97746	-5897.585689	5127.509865	44185.5854
4532.074862	-5895.556886	5127.351042	44161.2395
4532.172273	-5889.470475	5127.192232	44124.72065
4532.269695	-5887.441671	5127.033435	44096.3171
4532.367128	-5889.470475	5126.874651	44076.02885
