"extension_nm","force_f","retraction_nm","force_r"
4515.951796,96.2329203600002,4518.022031,-19.4088886399995
4516.047493,94.2041173600001,4518.113988,-15.3512816399998
4516.143199,86.0889023600002,4518.205959,-21.43769264
4516.238916,80.00249136,4518.297945,-21.43769264
4516.334642,71.8872763600002,4518.389946,-21.43769264
4516.430379,75.9448843600003,4518.481962,-23.4664956400002
4516.526126,63.7720623599998,4518.573992,-27.5241036400002
4516.621883,63.7720623599998,4518.666037,-19.4088886399995
4516.717651,63.7720623599998,4518.758097,-23.4664956400002
4516.813428,57.6856513599996,4518.850172,-21.43769264
4516.909216,59.7144543599998,4518.942261,-19.4088886399995
4517.005014,61.7432583600003,4519.034365,-15.3512816399998
4517.100822,61.7432583600003,4519.126484,-9.26487063999957
4517.19664,61.7432583600003,4519.218617,-11.2936736399997
4517.292468,61.7432583600003,4519.310765,-7.23606663999999
4517.388306,61.7432583600003,4519.402928,-3.17845863999992
4517.484155,59.7144543599998,4519.495106,-3.17845863999992
4517.580014,63.7720623599998,4519.587298,-1.14965563999976
4517.867651,67.8296693600005,4519.863964,-3.17845863999992
4517.963551,69.8584733600001,4519.956215,-3.17845863999992
4518.05946,69.8584733600001,4520.048481,-9.26487063999957
4518.15538,71.8872763600002,4520.140762,-13.3224776400002
4518.25131,71.8872763600002,4520.233057,-15.3512816399998
4518.34725,73.9160803599998,4520.325367,-15.3512816399998
4518.443201,71.8872763600002,4520.417692,-13.3224776400002
4518.539161,75.9448843600003,4520.510032,-11.2936736399997
4518.635132,77.9736873600004,4520.602386,-7.23606663999999
4518.731113,75.9448843600003,4520.694755,-5.2072626399995
4520.075917,51.5992403600003,4521.989467,-1.14965563999976
4520.172051,53.6280433600004,4522.082057,-3.17845863999992
4520.268195,55.65684736,4522.174662,-5.2072626399995
4524.991798,45.5128293600001,4526.730304,-1.14965563999976
4525.088454,49.5704363599998,4526.823644,-3.17845863999992
4525.185121,53.6280433600004,4526.916999,-5.2072626399995
4525.281798,53.6280433600004,4527.010368,-5.2072626399995
4525.378486,55.65684736,4527.103752,-5.2072626399995
4525.475184,55.65684736,4527.197151,-11.2936736399997
4525.571892,59.7144543599998,4527.290564,-9.26487063999957
4525.66861,59.7144543599998,4527.383992,-9.26487063999957
4525.765339,55.65684736,4527.477435,-9.26487063999957
4525.862078,55.65684736,4527.570892,-7.23606663999999
4525.958827,57.6856513599996,4527.664365,-5.2072626399995
4526.055587,55.65684736,4527.757851,-7.23606663999999
4526.152356,57.6856513599996,4527.851353,-5.2072626399995
4526.249137,55.65684736,4527.944869,-3.17845863999992
4526.345927,57.6856513599996,4528.0384,-5.2072626399995
4526.442728,57.6856513599996,4528.131946,-3.17845863999992
4527.508217,65.80086536,4529.161917,-1.14965563999976
4527.605142,65.80086536,4529.255639,-7.23606663999999
4527.702077,61.7432583600003,4529.349376,-3.17845863999992
4527.799022,67.8296693600005,4529.443127,-5.2072626399995
4527.895978,69.8584733600001,4529.536893,-11.2936736399997
4527.992944,69.8584733600001,4529.630674,-13.3224776400002
4528.08992,69.8584733600001,4529.724469,-15.3512816399998
4528.186906,71.8872763600002,4529.818279,-17.38008464
4528.283903,75.9448843600003,4529.912104,-15.3512816399998
4528.380911,73.9160803599998,4530.005943,-19.4088886399995
4528.477928,71.8872763600002,4530.099797,-19.4088886399995
4528.574956,69.8584733600001,4530.193666,-23.4664956400002
4528.671994,69.8584733600001,4530.287549,-21.43769264
4528.769043,67.8296693600005,4530.381447,-25.4952996399998
4528.866102,65.80086536,4530.47536,-29.5529066399995
4528.963171,67.8296693600005,4530.569288,-27.5241036400002
4529.060251,65.80086536,4530.66323,-27.5241036400002
4529.157341,61.7432583600003,4530.757187,-29.5529066399995
4529.254441,59.7144543599998,4530.851158,-31.58171064
4529.351552,57.6856513599996,4530.945144,-31.58171064
4529.448673,59.7144543599998,4531.039145,-29.5529066399995
4529.545805,59.7144543599998,4531.133161,-27.5241036400002
4529.642946,57.6856513599996,4531.227191,-23.4664956400002
4529.740098,57.6856513599996,4531.321236,-19.4088886399995
4529.837261,59.7144543599998,4531.415296,-19.4088886399995
4529.934434,59.7144543599998,4531.50937,-15.3512816399998
4530.031617,59.7144543599998,4531.603459,-13.3224776400002
4530.128811,61.7432583600003,4531.697563,-11.2936736399997
4530.226015,61.7432583600003,4531.791681,-13.3224776400002
4530.323229,57.6856513599996,4531.885814,-9.26487063999957
4530.420454,63.7720623599998,4531.979962,-11.2936736399997
4530.517689,63.7720623599998,4532.074124,-9.26487063999957
4530.614934,55.65684736,4532.168301,-13.3224776400002
4530.71219,59.7144543599998,4532.262493,-9.26487063999957
4530.809456,55.65684736,4532.356699,-13.3224776400002
4530.906733,57.6856513599996,4532.45092,-11.2936736399997
4531.00402,59.7144543599998,4532.545156,-11.2936736399997
4531.101317,57.6856513599996,4532.639407,-11.2936736399997
4531.198625,55.65684736,4532.733672,-13.3224776400002
4531.295943,57.6856513599996,4532.827951,-15.3512816399998
4531.393271,59.7144543599998,4532.922246,-9.26487063999957
4531.49061,61.7432583600003,4533.016555,-13.3224776400002
4531.587959,63.7720623599998,4533.110879,-19.4088886399995
4531.685319,71.8872763600002,4533.205217,-15.3512816399998
4531.782689,77.9736873600004,4533.29957,-17.38008464
4531.88007,75.9448843600003,4533.393938,-17.38008464
4531.97746,82.0312953600005,4533.488321,-15.3512816399998
4532.074862,84.0600983599998,4533.582718,-13.3224776400002
4532.172273,90.14650936,4533.67713,-21.43769264
4532.269695,92.1753133600005,4533.771556,-17.38008464
4532.367128,90.14650936,4533.865997,-17.38008464
4532.46457,92.1753133600005,4533.960453,-15.3512816399998
4532.562024,90.14650936,4534.054924,-19.4088886399995
4532.659487,90.14650936,4534.149409,-23.4664956400002
4532.756961,82.0312953600005,4534.243909,-23.4664956400002
4532.854446,82.0312953600005,4534.338423,-23.4664956400002
4532.95194,75.9448843600003,4534.432952,-23.4664956400002
4533.049446,71.8872763600002,4534.527496,-25.4952996399998
4533.146961,69.8584733600001,4534.622055,-27.5241036400002
4533.244487,67.8296693600005,4534.716628,-29.5529066399995
4533.342024,67.8296693600005,4534.811216,-25.4952996399998
4533.439571,67.8296693600005,4534.905818,-27.5241036400002
4533.537128,67.8296693600005,4535.000435,-29.5529066399995
4533.634696,67.8296693600005,4535.095067,-27.5241036400002
4533.732274,59.7144543599998,4535.189714,-29.5529066399995
4533.829863,63.7720623599998,4535.284375,-27.5241036400002
4533.927462,61.7432583600003,4535.379051,-29.5529066399995
4534.025071,61.7432583600003,4535.473741,-23.4664956400002
4534.122691,57.6856513599996,4535.568446,-19.4088886399995
4534.220321,59.7144543599998,4535.663166,-21.43769264
4534.317962,63.7720623599998,4535.7579,-19.4088886399995
4534.415613,63.7720623599998,4535.85265,-17.38008464
4534.513275,67.8296693600005,4535.947413,-19.4088886399995
4534.610947,67.8296693600005,4536.042192,-9.26487063999957
4534.708629,71.8872763600002,4536.136985,-11.2936736399997
4534.806322,71.8872763600002,4536.231793,-9.26487063999957
4534.904025,75.9448843600003,4536.326615,-11.2936736399997
4535.001739,73.9160803599998,4536.421452,-7.23606663999999
4535.099463,73.9160803599998,4536.516304,-7.23606663999999
4535.197198,84.0600983599998,4536.611171,-7.23606663999999
4535.294943,73.9160803599998,4536.706052,-11.2936736399997
4535.392699,80.00249136,4536.800947,-15.3512816399998
4535.490464,84.0600983599998,4536.895858,-13.3224776400002
4535.588241,80.00249136,4536.990783,-15.3512816399998
4535.686028,77.9736873600004,4537.085723,-19.4088886399995
4535.783825,75.9448843600003,4537.180677,-19.4088886399995
4535.881633,71.8872763600002,4537.275646,-19.4088886399995
4535.979451,69.8584733600001,4537.37063,-21.43769264
4536.07728,71.8872763600002,4537.465628,-21.43769264
4536.175119,69.8584733600001,4537.560641,-17.38008464
4536.272969,71.8872763600002,4537.655669,-13.3224776400002
4536.370829,69.8584733600001,4537.750711,-11.2936736399997
4536.468699,73.9160803599998,4537.845768,-7.23606663999999
4536.56658,71.8872763600002,4537.940839,-7.23606663999999
4536.664472,69.8584733600001,4538.035926,-3.17845863999992
4536.762374,69.8584733600001,4538.131027,-5.2072626399995
4536.958209,67.8296693600005,4538.321272,-1.14965563999976
4537.056142,67.8296693600005,4538.416417,-5.2072626399995
4537.154086,63.7720623599998,4538.511577,-7.23606663999999
4537.252041,63.7720623599998,4538.606751,-13.3224776400002
4537.350005,57.6856513599996,4538.70194,-11.2936736399997
4537.447981,61.7432583600003,4538.797143,-19.4088886399995
4537.545966,59.7144543599998,4538.892361,-21.43769264
4537.643963,55.65684736,4538.987594,-23.4664956400002
4537.741969,53.6280433600004,4539.082842,-29.5529066399995
4537.839986,57.6856513599996,4539.178104,-25.4952996399998
4537.938014,53.6280433600004,4539.273381,-27.5241036400002
4538.036052,51.5992403600003,4539.368672,-27.5241036400002
4538.134101,55.65684736,4539.463978,-27.5241036400002
4538.23216,57.6856513599996,4539.559299,-23.4664956400002
4538.33023,57.6856513599996,4539.654634,-25.4952996399998
4538.42831,57.6856513599996,4539.749984,-21.43769264
4538.5264,55.65684736,4539.845348,-17.38008464
