"extension_nm","force_f","retraction_nm","force_r"
4728.800136,86.0889023600002,4730.047765,-1096.70372164
4728.919045,86.0889023600002,4730.168348,-1094.67491764
4729.037967,88.1177063599998,4730.288945,-1082.50209364
4729.156901,88.1177063599998,4730.409556,-1078.44448564
4729.27585,86.0889023600002,4730.530181,-1072.35807364
4729.394811,84.0600983599998,4730.65082,-1070.32926964
4729.513785,82.0312953600005,4730.771473,-1062.21405364
4729.632773,75.9448843600003,4730.89214,-1062.21405364
4729.751773,77.9736873600004,4731.012821,-1060.18524964
4729.870787,80.00249136,4731.133516,-1058.15644564
4729.989814,77.9736873600004,4731.254225,-1060.18524964
4730.108854,75.9448843600003,4731.374949,-1056.12764164
4730.227908,80.00249136,4731.495686,-1060.18524964
4730.346974,77.9736873600004,4731.616437,-1060.18524964
4730.466054,77.9736873600004,4731.737202,-1062.21405364
4730.585147,84.0600983599998,4731.857981,-1062.21405364
4730.704253,84.0600983599998,4731.978774,-1060.18524964
4730.823372,88.1177063599998,4732.099581,-1058.15644564
4730.942504,86.0889023600002,4732.220402,-1054.09883764
4731.06165,90.14650936,4732.341237,-1050.04122964
4731.180809,92.1753133600005,4732.462086,-1048.01242564
4731.299981,92.1753133600005,4732.582948,-1041.92601364
4731.419166,92.1753133600005,4732.703825,-1035.83960164
4731.538364,94.2041173600001,4732.824716,-1031.78199464
4731.657575,98.2617243599998,4732.945621,-1019.60917064
4731.7768,100.29052736,4733.06654,-1013.52275864
4731.896038,102.31933136,4733.187473,-1005.40754264
4732.015289,98.2617243599998,4733.30842,-999.32113064
4732.134553,98.2617243599998,4733.429381,-997.29232664
4732.25383,100.29052736,4733.550356,-987.14830764
4732.373121,98.2617243599998,4733.671344,-987.14830764
4732.492425,96.2329203600002,4733.792347,-979.03309164
4732.611742,92.1753133600005,4733.913364,-979.03309164
4732.731072,90.14650936,4734.034395,-979.03309164
4732.850415,84.0600983599998,4734.155439,-972.94667964
4732.969772,80.00249136,4734.276498,-977.00428764
4733.089141,75.9448843600003,4734.397571,-974.97548364
4733.208524,80.00249136,4734.518658,-970.91787564
4733.32792,77.9736873600004,4734.639758,-974.97548364
4733.44733,77.9736873600004,4734.760873,-968.88907164
4733.566752,75.9448843600003,4734.882002,-966.86026764
4733.686188,77.9736873600004,4735.003144,-966.86026764
4733.805637,82.0312953600005,4735.124301,-960.77385564
4733.925099,82.0312953600005,4735.245471,-958.74505164
4734.044575,86.0889023600002,4735.366656,-954.68744364
4734.164063,92.1753133600005,4735.487854,-952.65864064
4734.283565,90.14650936,4735.609067,-940.48581664
4734.40308,90.14650936,4735.730293,-938.45701264
4734.522608,98.2617243599998,4735.851534,-936.42820864
4734.64215,94.2041173600001,4735.972788,-930.34179664
4734.761705,96.2329203600002,4736.094057,-920.19777764
4734.881273,94.2041173600001,4736.215339,-918.16897364
4735.000854,92.1753133600005,4736.336635,-912.08256164
4735.120448,94.2041173600001,4736.457946,-897.88093364
4735.240056,88.1177063599998,4736.57927,-897.88093364
4735.359677,96.2329203600002,4736.700608,-887.73691464
4735.479311,92.1753133600005,4736.821961,-879.62169864
4735.598958,92.1753133600005,4736.943327,-873.53528664
4735.718618,96.2329203600002,4737.064707,-867.44887564
4735.838292,96.2329203600002,4737.186101,-855.27605164
4735.957979,98.2617243599998,4737.30751,-847.16083664
4736.077679,100.29052736,4737.428932,-839.04562064
4736.197393,104.34813536,4737.550368,-828.90160064
4736.31712,104.34813536,4737.671818,-818.75758164
4736.43686,102.31933136,4737.793282,-808.61356164
4736.556613,110.43454636,4737.91476,-798.46954264
4736.676379,112.46334936,4738.036252,-786.29671964
4736.796159,110.43454636,4738.157758,-776.15269964
4736.915952,116.52095736,4738.279278,-766.00868064
4737.035758,120.57856436,4738.400812,-755.86466064
4737.155577,116.52095736,4738.52236,-747.74944564
4737.27541,122.60736836,4738.643921,-743.69183764
4737.395256,122.60736836,4738.765497,-733.54781864
4737.515115,118.54976036,4738.887087,-733.54781864
4737.634988,118.54976036,4739.008691,-729.49021064
4737.754873,120.57856436,4739.130309,-733.54781864
4737.874772,124.63617136,4739.25194,-731.51901464
4737.994685,122.60736836,4739.373586,-733.54781864
4738.11461,122.60736836,4739.495245,-729.49021064
4738.234549,124.63617136,4739.616919,-729.49021064
4738.354501,122.60736836,4739.738607,-723.40379864
4738.474466,116.52095736,4739.860308,-723.40379864
4738.594445,120.57856436,4739.982024,-715.28858364
4738.714437,116.52095736,4740.103753,-711.23097564
4738.834442,114.49215336,4740.225496,-699.05815264
4738.95446,108.40574236,4740.347254,-688.91413364
4739.074492,110.43454636,4740.469025,-678.77011364
4739.194537,108.40574236,4740.59081,-668.62609464
4739.314595,100.29052736,4740.71261,-652.39566364
4739.434667,102.31933136,4740.834423,-644.28044864
4739.554751,100.29052736,4740.95625,-634.13642964
4739.674849,100.29052736,4741.078091,-619.93480264
4739.794961,102.31933136,4741.199946,-617.90599864
4739.915085,98.2617243599998,4741.321815,-607.76197964
4740.035223,100.29052736,4741.443698,-607.76197964
4740.155375,100.29052736,4741.565595,-597.61795964
4740.275539,106.37693836,4741.687506,-597.61795964
4740.395717,106.37693836,4741.809431,-595.58915564
4740.515908,106.37693836,4741.93137,-593.56035264
4740.636112,106.37693836,4742.053323,-591.53154864
4740.75633,104.34813536,4742.17529,-583.41633264
4740.876561,106.37693836,4742.297271,-577.32992164
4740.996805,108.40574236,4742.419265,-571.24350964
4741.117063,112.46334936,4742.541274,-567.18590264
4741.237334,112.46334936,4742.663297,-552.98427564
4741.357618,118.54976036,4742.785333,-546.89786464
4741.477915,116.52095736,4742.907384,-532.69623764
4741.598226,114.49215336,4743.029448,-526.60982564
4741.71855,116.52095736,4743.151527,-516.46580664
4741.838888,118.54976036,4743.273619,-500.23537664
4741.959239,120.57856436,4743.395725,-492.12016164
4742.079603,118.54976036,4743.517846,-481.97614264
4742.19998,116.52095736,4743.63998,-475.88973064
4742.320371,118.54976036,4743.762128,-465.74571164
4742.440775,120.57856436,4743.88429,-459.65930064
4742.561192,118.54976036,4744.006466,-453.57288864
4742.681623,122.60736836,4744.128656,-445.45767364
4742.802067,124.63617136,4744.25086,-433.28485064
4742.922524,126.66497536,4744.373078,-427.19843964
4743.042994,126.66497536,4744.49531,-423.14083164
4743.163478,126.66497536,4744.617556,-421.11202864
4743.283976,128.69377936,4744.739816,-406.91040164
4743.404486,126.66497536,4744.86209,-404.88159764
4743.52501,130.72258236,4744.984378,-400.82399064
4743.645547,130.72258236,4745.106679,-398.79518664
4743.766098,126.66497536,4745.228995,-388.65116764
4743.886662,124.63617136,4745.351324,-384.59355964
4744.007239,124.63617136,4745.473668,-384.59355964
4744.12783,122.60736836,4745.596025,-378.50714864
4744.248434,116.52095736,4745.718397,-370.39193364
4744.369051,116.52095736,4745.840782,-362.27671864
4744.489682,112.46334936,4745.963181,-352.13269964
4744.610326,116.52095736,4746.085595,-346.04628864
4744.730983,114.49215336,4746.208022,-329.81585864
4744.851654,114.49215336,4746.330463,-313.58542864
4744.972338,116.52095736,4746.452918,-307.49901664
