"extension","force_f","retraction","force_r"
4246.069503,-766.946652,4244.610942,-767.95855
4246.188471,-767.95855,4244.730904,-768.970448
4246.307439,-772.006143,4244.850865,-768.970448
4246.426406,-775.041838,4244.970826,-770.994245
4246.545373,-776.053736,4245.090785,-774.02994
4246.66434,-777.065635,4245.210744,-775.041838
4246.783306,-780.10133,4245.330702,-776.053736
4246.902272,-780.10133,4245.450658,-777.065635
4247.021238,-781.113228,4245.570614,-776.053736
4247.140204,-782.125126,4245.690569,-778.077533
4247.259169,-784.148923,4245.810523,-776.053736
4247.378134,-780.10133,4245.930476,-775.041838
4247.497099,-780.10133,4246.050428,-774.02994
4247.616063,-778.077533,4246.170379,-773.018041
4247.735028,-777.065635,4246.290329,-772.006143
4247.853992,-777.065635,4246.410278,-769.982347
4247.972955,-777.065635,4246.530226,-766.946652
4248.091919,-775.041838,4246.650173,-767.95855
4248.210882,-775.041838,4246.77012,-766.946652
4248.329845,-774.02994,4246.890065,-768.970448
4248.448807,-772.006143,4247.01001,-768.970448
4248.567769,-775.041838,4247.129953,-770.994245
4248.686731,-775.041838,4247.249896,-770.994245
4248.805693,-776.053736,4247.369838,-770.994245
4248.924655,-775.041838,4247.489779,-774.02994
4249.043616,-777.065635,4247.609718,-772.006143
4249.162577,-775.041838,4247.729657,-775.041838
4249.281537,-775.041838,4247.849595,-775.041838
4249.400498,-777.065635,4247.969532,-775.041838
4249.519458,-775.041838,4248.089468,-774.02994
4249.638418,-773.018041,4248.209404,-774.02994
4249.757377,-775.041838,4248.329338,-772.006143
4249.876336,-774.02994,4248.449271,-770.994245
4249.995295,-773.018041,4248.569204,-770.994245
4250.114254,-774.02994,4248.689135,-772.006143
4250.233213,-776.053736,4248.809066,-770.994245
4250.352171,-774.02994,4248.928995,-770.994245
4250.471129,-775.041838,4249.048924,-770.994245
4250.590086,-777.065635,4249.168852,-770.994245
4250.709044,-780.10133,4249.288779,-769.982347
4250.828001,-780.10133,4249.408705,-769.982347
4250.946958,-779.089431,4249.52863,-767.95855
4251.065914,-781.113228,4249.648554,-768.970448
4251.18487,-781.113228,4249.768477,-767.95855
4251.303826,-781.113228,4249.888399,-766.946652
4251.422782,-779.089431,4250.008321,-766.946652
4251.541738,-778.077533,4250.128241,-765.934753
4251.660693,-777.065635,4250.24816,-765.934753
4251.779648,-776.053736,4250.368079,-763.910957
4251.898602,-774.02994,4250.487997,-764.922855
4252.017557,-776.053736,4250.607913,-765.934753
4252.136511,-774.02994,4250.727829,-762.899058
4252.255465,-775.041838,4250.847744,-762.899058
4252.374418,-776.053736,4250.967658,-764.922855
4252.493372,-776.053736,4251.087571,-766.946652
4252.612325,-777.065635,4251.207483,-765.934753
4252.731278,-779.089431,4251.327394,-766.946652
4252.85023,-779.089431,4251.447305,-766.946652
4252.969182,-777.065635,4251.567214,-767.95855
4253.088134,-778.077533,4251.687122,-767.95855
4253.207086,-778.077533,4251.80703,-770.994245
4253.326038,-779.089431,4251.926937,-768.970448
4253.444989,-777.065635,4252.046842,-769.982347
4253.56394,-779.089431,4252.166747,-767.95855
4253.68289,-776.053736,4252.286651,-770.994245
4253.801841,-774.02994,4252.406554,-769.982347
4253.920791,-775.041838,4252.526456,-766.946652
4254.039741,-773.018041,4252.646357,-767.95855
4254.15869,-770.994245,4252.766257,-767.95855
4254.27764,-769.982347,4252.886157,-766.946652
4254.396589,-769.982347,4253.006055,-765.934753
4254.515538,-769.982347,4253.125953,-763.910957
4254.634486,-769.982347,4253.245849,-763.910957
4254.753435,-770.994245,4253.365745,-761.88716
4254.872383,-770.994245,4253.48564,-761.88716
4254.99133,-774.02994,4253.605534,-762.899058
4255.110278,-775.041838,4253.725427,-761.88716
4255.229225,-775.041838,4253.845319,-760.875262
4255.348172,-776.053736,4253.96521,-759.863364
4255.467119,-775.041838,4254.0851,-760.875262
4255.586065,-777.065635,4254.204989,-762.899058
4255.705012,-775.041838,4254.324878,-761.88716
4255.823958,-774.02994,4254.444765,-763.910957
4255.942903,-774.02994,4254.564652,-763.910957
4256.061849,-773.018041,4254.684538,-763.910957
4256.180794,-773.018041,4254.804422,-765.934753
4256.299739,-770.994245,4254.924306,-765.934753
4256.418683,-770.994245,4255.044189,-763.910957
4256.537628,-773.018041,4255.164071,-764.922855
4256.656572,-772.006143,4255.283953,-764.922855
4256.775516,-774.02994,4255.403833,-762.899058
4256.894459,-775.041838,4255.523712,-762.899058
4257.013403,-776.053736,4255.643591,-763.910957
4257.132346,-777.065635,4255.763468,-763.910957
4257.251289,-779.089431,4255.883345,-762.899058
4257.370231,-780.10133,4256.003221,-765.934753
4257.489174,-780.10133,4256.123096,-765.934753
4257.608116,-781.113228,4256.24297,-764.922855
