"extension","force_f","retraction","force_r"
4354.549712,-8687.191258,4356.950867,-8741.96898
4354.670405,-8685.162454,4357.066755,-8746.026589
4354.791079,-8687.191258,4357.18263,-8739.940175
4354.911735,-8691.248867,4357.29849,-8743.997784
4355.032372,-8691.248867,4357.414336,-8743.997784
4355.152991,-8695.306476,4357.530168,-8746.026589
4355.273592,-8701.39289,4357.645986,-8746.026589
4355.394174,-8697.335281,4357.76179,-8748.055393
4355.514737,-8701.39289,4357.87758,-8750.084198
4355.635283,-8697.335281,4357.993356,-8748.055393
4355.75581,-8703.421694,4358.109118,-8752.113002
4355.876318,-8701.39289,4358.224866,-8750.084198
4355.996808,-8703.421694,4358.3406,-8748.055393
4356.11728,-8699.364085,4358.45632,-8754.141807
4356.237734,-8701.39289,4358.572026,-8752.113002
4356.358169,-8699.364085,4358.687719,-8746.026589
4356.478586,-8701.39289,4358.803397,-8748.055393
4356.598985,-8697.335281,4358.919061,-8746.026589
4356.719365,-8701.39289,4359.034712,-8743.997784
4356.839727,-8695.306476,4359.150348,-8739.940175
4356.960071,-8695.306476,4359.265971,-8741.96898
4357.080397,-8697.335281,4359.38158,-8746.026589
4357.200704,-8695.306476,4359.497175,-8748.055393
4357.320993,-8689.220063,4359.612756,-8746.026589
4357.441264,-8691.248867,4359.728323,-8746.026589
4357.561517,-8689.220063,4359.843876,-8752.113002
4357.681752,-8687.191258,4359.959416,-8758.199416
4357.801968,-8689.220063,4360.074941,-8762.257025
4357.922166,-8689.220063,4360.190453,-8764.285829
4358.042346,-8693.277672,4360.305951,-8770.372243
4358.162508,-8697.335281,4360.421436,-8774.429852
4358.282652,-8699.364085,4360.536906,-8776.458656
4358.402778,-8701.39289,4360.652363,-8772.401047
4358.522886,-8707.479303,4360.767806,-8774.429852
4358.642975,-8705.450499,4360.883235,-8772.401047
4358.763046,-8703.421694,4360.998651,-8768.343438
4358.8831,-8707.479303,4361.114053,-8764.285829
4359.003135,-8709.508108,4361.229441,-8756.170611
4359.123152,-8707.479303,4361.344815,-8756.170611
4359.243152,-8703.421694,4361.460176,-8750.084198
4359.363133,-8697.335281,4361.575523,-8741.96898
4359.483096,-8697.335281,4361.690856,-8741.96898
